date,discharge,acc_flow_30d,acc_flow_60d,acc_flow_90d
1985-09-18,10200,238610.0,518290.0,847310.0
1985-09-19,7310,240310.0,520580.0,834120.0
1985-09-20,8350,242650.0,514730.0,837570.0
1985-09-21,944,236804.0,502474.0,833564.0
1985-09-22,1060,230194.0,495524.0,814224.0
1985-09-23,5690,230734.0,490214.0,806714.0
1985-09-24,7670,233234.0,488874.0,799684.0
1985-09-25,7620,234944.0,484494.0,791004.0
1985-09-26,20000,248114.0,499264.0,800604.0
1985-09-27,30100,270404.0,513664.0,825664.0
1985-09-28,18300,279984.0,518464.0,838954.0
1985-09-29,11100,282654.0,518264.0,838354.0
1985-09-30,36900,314654.0,546494.0,858054.0
1985-10-01,38800,348204.0,569394.0,887984.0
1985-10-02,35600,378784.0,599964.0,918214.0
1985-10-03,31200,395084.0,626094.0,939414.0
1985-10-04,26100,408184.0,636794.0,959644.0
1985-10-05,10200,407184.0,637724.0,963924.0
1985-10-06,9470,408854.0,641994.0,966214.0
1985-10-07,18600,422254.0,649894.0,971714.0
1985-10-08,22800,439514.0,658694.0,985344.0
1985-10-09,19000,452394.0,672604.0,989944.0
1985-10-10,18000,463174.0,685204.0,1000274.0
1985-10-11,15300,466474.0,691024.0,1008294.0
1985-10-12,4440,456714.0,685264.0,1007024.0
1985-10-13,950,451314.0,676884.0,985874.0
1985-10-14,15100,461104.0,683984.0,983374.0
1985-10-15,12100,468004.0,687724.0,980274.0
1985-10-16,11500,467204.0,694134.0,979074.0
1985-10-17,13600,468004.0,702074.0,980974.0
1985-10-18,12400,470204.0,708814.0,988494.0
1985-10-19,2080,464974.0,705284.0,985554.0
1985-10-20,921,457545.0,700195.0,972275.0
1985-10-21,20100,476701.0,713505.0,979175.0
1985-10-22,15600,491241.0,721435.0,986765.0
1985-10-23,4960,490511.0,721245.0,980725.0
1985-10-24,11200,494041.0,727275.0,982915.0
1985-10-25,17400,503821.0,738765.0,988315.0
1985-10-26,943,484764.0,732878.0,984028.0
1985-10-27,4570,459234.0,729638.0,972898.0
1985-10-28,10500,451434.0,731418.0,969898.0
1985-10-29,13300,453634.0,736288.0,971898.0
1985-10-30,14500,431234.0,745888.0,977728.0
1985-10-31,11600,404034.0,752238.0,973428.0
1985-11-01,16000,384434.0,763218.0,984398.0
1985-11-02,970,354204.0,749288.0,980298.0
1985-11-03,942,329046.0,737230.0,965840.0
1985-11-04,13900,332746.0,739930.0,970470.0
1985-11-05,15200,338476.0,747330.0,980470.0
1985-11-06,24500,344376.0,766630.0,994270.0
1985-11-07,21500,343076.0,782590.0,1001770.0
1985-11-08,29300,353376.0,805770.0,1025980.0
1985-11-09,22900,358276.0,821450.0,1043480.0
1985-11-10,8870,351846.0,818320.0,1042870.0
1985-11-11,18600,366006.0,822720.0,1051270.0
1985-11-12,24700,389756.0,841070.0,1066640.0
1985-11-13,26000,400656.0,861760.0,1084640.0
1985-11-14,29200,417756.0,885760.0,1105480.0
1985-11-15,35100,441356.0,908560.0,1135490.0
1985-11-16,41700,469456.0,937460.0,1171530.0
1985-11-17,59000,516056.0,986260.0,1224870.0
1985-11-18,145000,658976.0,1123950.0,1364260.0
1985-11-19,165000,823055.0,1280600.0,1523250.0
1985-11-20,139000,941955.0,1418656.0,1655460.0
1985-11-21,105000,1031355.0,1522596.0,1752790.0
