#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 07 16 00 306 12.8 14.8 99.00 99.00 99.00 999 1021.1  -4.5   3.8 -16.4 99.0 99.00
2015 01 07 17 00 278  9.1 10.9 99.00 99.00 99.00 999 1021.1  -4.5   4.0 -15.5 99.0 99.00
2015 01 07 18 00 310 12.8 15.4 99.00 99.00 99.00 999 1020.9  -4.9   4.2 -14.8 99.0 99.00
2015 01 07 19 00 300 13.1 15.6 99.00 99.00 99.00 999 1021.6  -5.1   4.1 -16.5 99.0 99.00
2015 01 07 20 00 312 11.1 15.9 99.00 99.00 99.00 999 1022.8  -5.0   4.1 -16.0 99.0 99.00
2015 01 07 21 00 320 12.6 14.3 99.00 99.00 99.00 999 1023.5  -6.2   4.1 -16.5 99.0 99.00
2015 01 07 22 00 305 10.4 11.8 99.00 99.00 99.00 999 1024.6  -6.1   3.9 -16.3 99.0 99.00
2015 01 07 23 00 311 12.3 13.5 99.00 99.00 99.00 999 1025.4  -6.8   3.6 -13.9 99.0 99.00
2015 01 08 00 00 312 10.6 12.2 99.00 99.00 99.00 999 1026.8  -6.8   3.4 -15.1 99.0 99.00
2015 01 08 01 00 310 10.2 12.1 99.00 99.00 99.00 999 1028.2  -7.5   3.9 -17.1 99.0 99.00
2015 01 08 02 00 311 11.3 14.1 99.00 99.00 99.00 999 1029.1  -8.0   3.8 -20.1 99.0 99.00
2015 01 08 03 00 317 10.4 13.0 99.00 99.00 99.00 999 1030.5  -8.7   3.7 -21.1 99.0 99.00
2015 01 08 04 00 319 10.5 11.8 99.00 99.00 99.00 999 1031.5  -9.2   3.5 -19.9 99.0 99.00
2015 01 08 05 00 320  9.9 12.0 99.00 99.00 99.00 999 1032.3  -9.8   3.3 -20.3 99.0 99.00
2015 01 08 06 00 315  9.2 10.5 99.00 99.00 99.00 999 1032.8 -10.0   3.7 -18.4 99.0 99.00
2015 01 08 07 00 289  9.5 11.0 99.00 99.00 99.00 999 1033.3 -10.6   3.5 -18.9 99.0 99.00
2015 01 08 08 00 292 11.0 11.9 99.00 99.00 99.00 999 1033.8 -10.9   3.2 -19.0 99.0 99.00
2015 01 08 09 00 292 10.2 11.7 99.00 99.00 99.00 999 1033.7 -11.2   2.7 -19.7 99.0 99.00
2015 01 08 10 00 295  9.1 10.3 99.00 99.00 99.00 999 1034.1 -11.1   2.6 -19.9 99.0 99.00
2015 01 08 11 00 279  8.8 10.1 99.00 99.00 99.00 999 1035.2 -11.5   2.4 -20.3 99.0 99.00
2015 01 08 12 00 286  6.2  7.7 99.00 99.00 99.00 999 1035.9 -11.7   1.4 -20.4 99.0 99.00
2015 01 08 13 00 300  7.6  9.0 99.00 99.00 99.00 999 1036.4 -11.3   1.9 -18.8 99.0 99.00
2015 01 08 14 00 285  7.9  8.9 99.00 99.00 99.00 999 1037.0 -11.3   2.2 -19.8 99.0 99.00
2015 01 08 15 00 303  6.8  8.5 99.00 99.00 99.00 999 1037.1 -11.0   2.0 -22.0 99.0 99.00
2015 01 08 16 00 293  6.4  7.6 99.00 99.00 99.00 999 1036.0 -10.1   2.5 -20.4 99.0 99.00
2015 01 08 17 00 274  7.2  8.8 99.00 99.00 99.00 999 1034.2  -9.3   2.6 -19.8 99.0 99.00
2015 01 08 18 00 307  7.1  8.3 99.00 99.00 99.00 999 1033.7  -8.6   2.8 -20.2 99.0 99.00
2015 01 08 19 00 278  5.7  6.8 99.00 99.00 99.00 999 1032.8  -7.7   2.9 -19.6 99.0 99.00
2015 01 08 20 00 249  3.4  4.4 99.00 99.00 99.00 999 1032.9  -7.1   2.9 -21.3 99.0 99.00
2015 01 08 21 00 250  2.9  3.7 99.00 99.00 99.00 999 1032.1  -6.6   2.6 -21.0 99.0 99.00
2015 01 08 22 00 228  4.4  5.3 99.00 99.00 99.00 999 1031.6  -6.2   2.7 -20.6 99.0 99.00
2015 01 08 23 00 225  5.8  7.1 99.00 99.00 99.00 999 1031.2  -5.5   3.2 -19.4 99.0 99.00
2015 01 09 00 00 209  6.6  7.3 99.00 99.00 99.00 999 1030.0  -5.1   3.3 -17.5 99.0 99.00
2015 01 09 01 00 205 11.7 13.3 99.00 99.00 99.00 999 1029.0  -4.5   3.4 -17.3 99.0 99.00
2015 01 09 02 00 197 12.7 15.0 99.00 99.00 99.00 999 1028.3  -4.2   3.5 -16.4 99.0 99.00
2015 01 09 03 00 204 13.0 14.1 99.00 99.00 99.00 999 1027.2  -4.0   3.5 -16.2 99.0 99.00
2015 01 09 04 00 196 14.0 16.3 99.00 99.00 99.00 999 1025.9  -3.8   3.4 -15.8 99.0 99.00
2015 01 09 05 00 206 12.5 14.4 99.00 99.00 99.00 999 1024.7  -3.5   3.4 -14.9 99.0 99.00
2015 01 09 06 00 210 13.2 14.5 99.00 99.00 99.00 999 1023.5  -3.5   3.4 -15.9 99.0 99.00
2015 01 09 07 00 203 13.3 15.4 99.00 99.00 99.00 999 1022.1  -3.2   3.2 -14.3 99.0 99.00
2015 01 09 08 00 200 16.2 18.2 99.00 99.00 99.00 999 1020.2  -3.1   3.2 -14.9 99.0 99.00
2015 01 09 09 00 202 15.6 17.3 99.00 99.00 99.00 999 1019.1  -2.7   2.8 -13.7 99.0 99.00
2015 01 09 10 00 216 12.0 13.4 99.00 99.00 99.00 999 1018.7  -2.5   2.5 -13.3 99.0 99.00
2015 01 09 11 00 214 12.5 13.7 99.00 99.00 99.00 999 1018.5  -2.3   2.6 -15.2 99.0 99.00
2015 01 09 12 00 217  9.4 10.1 99.00 99.00 99.00 999 1019.1  -2.0   3.4 -13.5 99.0 99.00
2015 01 09 13 00 268  4.4  5.3 99.00 99.00 99.00 999 1020.2  -2.3   3.6 -15.1 99.0 99.00
2015 01 09 14 00 251  3.1  3.6 99.00 99.00 99.00 999 1021.3  -2.1   2.7 -15.1 99.0 99.00
2015 01 09 15 00 229  1.7  2.3 99.00 99.00 99.00 999 1021.8  -1.8   2.6 -15.6 99.0 99.00
2015 01 09 16 00 226  3.4  4.0 99.00 99.00 99.00 999 1021.0  -1.4   3.6 -14.9 99.0 99.00
2015 01 09 17 00 243  2.7  3.6 99.00 99.00 99.00 999 1020.0   0.0   3.6 -14.7 99.0 99.00
2015 01 09 18 00 289  1.8  2.1 99.00 99.00 99.00 999 1019.6   0.8   3.8 -13.8 99.0 99.00
2015 01 09 19 00 279  5.4  6.4 99.00 99.00 99.00 999 1019.6   1.9   4.0 -13.5 99.0 99.00
2015 01 09 20 00 296  7.2  9.2 99.00 99.00 99.00 999 1019.7   2.7   4.1 -11.8 99.0 99.00
2015 01 09 21 00 302  9.3 10.6 99.00 99.00 99.00 999 1020.4   2.7   4.0 -11.5 99.0 99.00
2015 01 09 22 00 317  6.0  7.3 99.00 99.00 99.00 999 1021.7   1.9   3.9 -12.3 99.0 99.00
2015 01 09 23 00 307  6.2  7.2 99.00 99.00 99.00 999 1022.6   1.2   3.9 -11.6 99.0 99.00
2015 01 10 00 00 315  5.0  5.6 99.00 99.00 99.00 999 1023.6   0.6   3.4 -12.8 99.0 99.00
2015 01 10 01 00 313  6.6  7.5 99.00 99.00 99.00 999 1024.4   0.0   3.5 -11.9 99.0 99.00
2015 01 10 02 00 313  5.9  6.9 99.00 99.00 99.00 999 1025.0  -0.7   3.3 -12.1 99.0 99.00
2015 01 10 03 00 319  6.6  7.6 99.00 99.00 99.00 999 1025.6  -1.3   3.1 -12.5 99.0 99.00
