#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 07 08 00 302  6.5  7.3 99.00 99.00 99.00 999 1016.1  -0.9   0.8  -5.4 99.0 99.00
2010 01 07 09 00 289  6.1  6.6 99.00 99.00 99.00 999 1016.3  -1.1   0.8  -5.4 99.0 99.00
2010 01 07 10 00 305  5.9  7.0 99.00 99.00 99.00 999 1016.2  -1.3   1.0  -5.4 99.0 99.00
2010 01 07 11 00 315  6.2  6.9 99.00 99.00 99.00 999 1016.6  -1.4   1.0  -5.6 99.0 99.00
2010 01 07 12 00 323  5.5  5.9 99.00 99.00 99.00 999 1016.9  -1.7   1.0  -6.0 99.0 99.00
2010 01 07 13 00 306  4.9  5.7 99.00 99.00 99.00 999 1017.7  -1.5   1.3  -6.0 99.0 99.00
2010 01 07 14 00 293  4.9  5.7 99.00 99.00 99.00 999 1018.0  -1.2   1.4  -6.3 99.0 99.00
2010 01 07 15 00 304  6.4  7.1 99.00 99.00 99.00 999 1018.3  -0.5   1.3  -6.1 99.0 99.00
2010 01 07 16 00 328  7.3  8.1 99.00 99.00 99.00 999 1018.1   0.3   1.6  -5.9 99.0 99.00
2010 01 07 17 00 300  4.4  5.2 99.00 99.00 99.00 999 1016.9   0.7   1.7  -6.8 99.0 99.00
2010 01 07 18 00 303  3.6  4.1 99.00 99.00 99.00 999 1016.3   1.4   1.7  -6.3 99.0 99.00
2010 01 07 19 00 288  2.9  3.3 99.00 99.00 99.00 999 1015.6   2.1   1.4  -5.6 99.0 99.00
2010 01 07 20 00 289  4.9  5.3 99.00 99.00 99.00 999 1015.3   2.0   1.2  -5.5 99.0 99.00
2010 01 07 21 00 271  5.5  6.0 99.00 99.00 99.00 999 1015.6   2.2   1.0  -5.7 99.0 99.00
2010 01 07 22 00 253  4.3  4.5 99.00 99.00 99.00 999 1015.4   1.8   1.0  -5.6 99.0 99.00
2010 01 07 23 00 298  2.6  3.0 99.00 99.00 99.00 999 1015.1   1.2   1.1  -5.7 99.0 99.00
